"ClientId","Sessions","Avg.SessionDuration(seconds)","BounceRate","Revenue","Transactions","GoalConversionRate"
1,48,0,1,0,0,0
2,33,0,1,0,0,0
3,29,152.724137931034,0.586206896551724,0,0,0
4,26,37.8846153846154,0.884615384615385,0,0,0
5,26,93.1923076923077,0.576923076923077,0,0,0.0384615384615385
6,24,108.625,0.75,0,0,0.0416666666666667
7,23,132.130434782609,0.782608695652174,0,0,0.0434782608695652
8,23,131.652173913043,0.782608695652174,0,0,0.0434782608695652
9,22,134.045454545455,0.545454545454545,0,0,0.0454545454545455
10,21,407.142857142857,0.666666666666667,0,0,0.0952380952380952
11,20,38.75,0.5,0,0,0
12,19,4.42105263157895,0.947368421052632,0,0,0
13,18,0,1,0,0,0
14,18,114.888888888889,0.888888888888889,0,0,0.0555555555555556
15,18,144.333333333333,0.444444444444444,0,0,0.0555555555555556
16,17,142.705882352941,0.705882352941177,0,0,0.0588235294117647
17,16,244.1875,0.4375,0,0,0.0625
18,16,147.125,0.75,0,0,0.0625
19,16,628.125,0.25,0,0,0.25
20,15,138.8,0.733333333333333,0,0,0.0666666666666667
21,14,220.214285714286,0.642857142857143,0,0,0.142857142857143
22,14,444.285714285714,0.285714285714286,0,0,0.214285714285714
23,13,0,1,0,0,0
24,13,157.461538461538,0.692307692307692,0,0,0.0769230769230769
25,12,98.6666666666667,0.583333333333333,0,0,0
26,12,271.25,0.416666666666667,0,0,0.0833333333333333
27,11,0,1,0,0,0
28,11,166.727272727273,0.454545454545455,0,0,0
29,11,149.818181818182,0.272727272727273,0,0,0
30,11,51.8181818181818,0.454545454545455,0,0,0
31,11,87.5454545454545,0.636363636363636,0,0,0
32,11,255.818181818182,0.636363636363636,0,0,0.181818181818182
33,11,583.181818181818,0,0,0,0.181818181818182
34,11,33,0.454545454545455,0,0,0
35,11,190.454545454545,0.909090909090909,0,0,0.0909090909090909
36,10,252.4,0.5,0,0,0.1
37,10,56.2,0.3,0,0,0
38,10,648.7,0.5,0,0,0.2
39,10,263.7,0.4,0,0,0.1
40,10,74.1,0.5,0,0,0
41,10,12,0.8,0,0,0
42,10,129,0.5,0,0,0.1
43,10,113.2,0.6,0,0,0
44,10,168.6,0.8,0,0,0.1
45,9,483.444444444444,0.222222222222222,0,0,0.111111111111111
46,9,20.2222222222222,0.666666666666667,0,0,0
47,9,490.444444444444,0.333333333333333,0,0,0.222222222222222
48,9,96.4444444444444,0.111111111111111,0,0,0
49,9,320.444444444444,0.444444444444444,0,0,0.222222222222222
50,9,728.888888888889,0.111111111111111,0,0,0.222222222222222
51,9,205.444444444444,0.666666666666667,0,0,0.111111111111111
52,9,0.555555555555556,0.888888888888889,0,0,0
53,9,346.111111111111,0.333333333333333,0,0,0.111111111111111
54,8,734.75,0.125,0,0,0.125
55,8,678.375,0,0,0,0.375
56,8,98,0.875,0,0,0
57,8,493.25,0.125,0,0,0.25
58,8,0,1,0,0,0
59,8,251.75,0.125,0,0,0.125
60,8,230.125,0.5,0,0,0.125
61,8,194.375,0.25,0,0,0
62,8,316.375,0.375,0,0,0.125
63,8,806.375,0,0,0,0.375
64,8,515.125,0.125,0,0,0.25
65,8,76,0.75,0,0,0
66,8,423.5,0.25,0,0,0.125
67,8,1038,0.125,0,0,0.25
68,8,8.375,0.875,0,0,0
69,8,176.25,0.625,0,0,0
70,8,188.25,0.375,0,0,0.125
71,8,828.125,0,0,0,0.25
72,8,330.5,0.25,0,0,0
73,8,303.75,0.625,0,0,0.25
74,8,725.75,0.5,0,0,0.25
75,8,915.625,0.25,0,0,0.5
76,8,319.875,0.25,0,0,0.125
77,8,161.5,0.25,0,0,0
78,7,377.714285714286,0,0,0,0.142857142857143
79,7,107.714285714286,0.142857142857143,0,0,0
80,7,561.714285714286,0.428571428571429,0,0,0.142857142857143
81,7,132.714285714286,0.142857142857143,0,0,0
82,7,5.85714285714286,0.714285714285714,0,0,0
83,7,309.142857142857,0.571428571428571,0,0,0.142857142857143
84,7,438.142857142857,0.285714285714286,0,0,0.142857142857143
85,7,476.571428571429,0.571428571428571,0,0,0.142857142857143
86,7,573.857142857143,0.142857142857143,0,0,0.285714285714286
87,7,832.857142857143,0.142857142857143,0,0,0.285714285714286
88,7,263.714285714286,0.142857142857143,0,0,0.142857142857143
89,7,757.142857142857,0,0,0,0.285714285714286
90,7,139.285714285714,0,0,0,0
91,7,402.857142857143,0,0,0,0.285714285714286
92,7,1.71428571428571,0.857142857142857,0,0,0
93,7,0,1,0,0,0
94,7,329.142857142857,0.285714285714286,0,0,0.142857142857143
95,7,575.142857142857,0.142857142857143,0,0,0.285714285714286
96,7,926.428571428571,0.142857142857143,0,0,0.428571428571429
97,7,144.428571428571,0.857142857142857,0,0,0.142857142857143
98,7,21.4285714285714,0.714285714285714,0,0,0
99,7,167.428571428571,0.571428571428571,0,0,0.142857142857143
100,7,317.714285714286,0.571428571428571,0,0,0.142857142857143
101,7,215.571428571429,0.428571428571429,0,0,0
102,7,430.857142857143,0,0,0,0.142857142857143
103,7,619.142857142857,0,0,0,0.285714285714286
104,7,187.857142857143,0.142857142857143,0,0,0.142857142857143
105,7,64,0.571428571428571,0,0,0
106,7,86.2857142857143,0.142857142857143,0,0,0
107,6,122.333333333333,0.5,0,0,0
108,6,78.6666666666667,0.5,0,0,0
109,6,323.333333333333,0.5,0,0,0.166666666666667
110,6,359,0.333333333333333,0,0,0.166666666666667
111,6,414.833333333333,0.166666666666667,0,0,0.166666666666667
112,6,835.166666666667,0.166666666666667,0,0,0.333333333333333
113,6,263.333333333333,0.166666666666667,0,0,0
114,6,362.5,0.166666666666667,0,0,0.166666666666667
115,6,655.666666666667,0,0,0,0.166666666666667
116,6,137.666666666667,0.166666666666667,0,0,0
117,6,23.5,0.333333333333333,0,0,0
118,6,745.166666666667,0.333333333333333,0,0,0.5
119,6,493.666666666667,0.5,0,0,0.333333333333333
120,6,0,1,0,0,0
121,6,480.333333333333,0.666666666666667,0,0,0.166666666666667
122,6,289,0.333333333333333,0,0,0
123,6,766.333333333333,0,0,0,0.333333333333333
124,6,527.333333333333,0.5,0,0,0.333333333333333
125,6,627,0.333333333333333,0,0,0.166666666666667
126,6,259.166666666667,0.833333333333333,0,0,0.166666666666667
127,6,180.5,0.166666666666667,0,0,0.166666666666667
128,6,512.666666666667,0,0,0,0.166666666666667
129,6,9.5,0.666666666666667,0,0,0
